agency_cd,site_no,datetime,tz_cd,229225_00065,229225_00065_cd,241826_00065,241826_00065_cd
5s,15s,20d,6s,14n,10s,14n,10s
USGS,11467270,2022-08-12 07:15,PDT,1.40,A,-1.47,P
USGS,11467270,2022-08-12 07:30,PDT,1.29,A,-1.58,P
USGS,11467270,2022-08-12 07:45,PDT,1.19,A,-1.68,P
USGS,11467270,2022-08-12 08:00,PDT,1.10,A,-1.77,P
USGS,11467270,2022-08-12 08:15,PDT,1.02,A,-1.85,P
USGS,11467270,2022-08-12 08:30,PDT,0.96,A,-1.91,P
USGS,11467270,2022-08-12 08:45,PDT,0.93,A,-1.94,P
USGS,11467270,2022-08-12 09:00,PDT,1.04,A,-1.83,P
USGS,11467270,2022-08-12 09:15,PDT,1.26,A,-1.61,P
USGS,11467270,2022-08-12 09:30,PDT,1.48,A,-1.39,P
USGS,11467270,2022-08-12 09:45,PDT,1.72,A,-1.15,P
USGS,11467270,2022-08-12 10:00,PDT,1.95,A,-0.92,P
USGS,11467270,2022-08-12 10:15,PDT,2.20,A,-0.67,P
USGS,11467270,2022-08-12 10:30,PDT,2.48,A,-0.39,P
USGS,11467270,2022-08-12 10:45,PDT,2.75,A,-0.12,P
USGS,11467270,2022-08-12 11:00,PDT,3.02,A,0.15,P
USGS,11467270,2022-08-12 11:15,PDT,3.31,A,0.44,P
USGS,11467270,2022-08-12 11:30,PDT,3.60,A,0.73,P
USGS,11467270,2022-08-12 11:45,PDT,3.85,A,0.98,P
USGS,11467270,2022-08-12 12:00,PDT,4.09,A,1.22,P
USGS,11467270,2022-08-12 12:15,PDT,4.31,A,1.44,P
USGS,11467270,2022-08-12 12:30,PDT,4.50,A,1.63,P
USGS,11467270,2022-08-12 12:45,PDT,4.70,A,1.83,P
USGS,11467270,2022-08-12 13:00,PDT,4.82,A,1.95,P
USGS,11467270,2022-08-12 13:15,PDT,4.89,A,2.02,P
USGS,11467270,2022-08-12 13:30,PDT,4.97,A,2.10,P
USGS,11467270,2022-08-12 13:45,PDT,4.99,A,2.12,P
USGS,11467270,2022-08-12 14:00,PDT,4.88,A,2.01,P
USGS,11467270,2022-08-12 14:15,PDT,4.76,A,1.88,P
USGS,11467270,2022-08-12 14:30,PDT,4.65,A,1.78,P
USGS,11467270,2022-08-12 14:45,PDT,4.50,A,1.63,P
USGS,11467270,2022-08-12 15:00,PDT,4.38,A,1.51,P
USGS,11467270,2022-08-12 15:15,PDT,4.22,A,1.35,P
USGS,11467270,2022-08-12 15:30,PDT,4.07,A,1.20,P
USGS,11467270,2022-08-12 15:45,PDT,3.92,A,1.05,P
USGS,11467270,2022-08-12 16:00,PDT,3.76,A,0.89,P
USGS,11467270,2022-08-12 16:15,PDT,3.62,A,0.75,P
USGS,11467270,2022-08-12 16:30,PDT,3.48,A,0.61,P
USGS,11467270,2022-08-12 16:45,PDT,3.33,A,0.46,P
USGS,11467270,2022-08-12 17:00,PDT,3.19,A,0.32,P
USGS,11467270,2022-08-12 17:15,PDT,3.05,A,0.18,P
USGS,11467270,2022-08-12 17:30,PDT,2.93,A,0.06,P
USGS,11467270,2022-08-12 17:45,PDT,2.80,A,-0.07,P
USGS,11467270,2022-08-12 18:00,PDT,2.72,A,-0.15,P
USGS,11467270,2022-08-12 18:15,PDT,2.66,A,-0.22,P
USGS,11467270,2022-08-12 18:30,PDT,2.61,A,-0.27,P
USGS,11467270,2022-08-12 18:45,PDT,2.57,A,-0.30,P
USGS,11467270,2022-08-12 19:00,PDT,2.63,A,-0.25,P
USGS,11467270,2022-08-12 19:15,PDT,2.77,A,-0.10,P
USGS,11467270,2022-08-12 19:30,PDT,2.90,A,0.03,P
USGS,11467270,2022-08-12 19:45,PDT,3.05,A,0.18,P
USGS,11467270,2022-08-12 20:00,PDT,3.20,A,0.33,P
USGS,11467270,2022-08-12 20:15,PDT,3.38,A,0.51,P
USGS,11467270,2022-08-12 20:30,PDT,3.57,A,0.70,P
USGS,11467270,2022-08-12 20:45,PDT,3.78,A,0.91,P
USGS,11467270,2022-08-12 21:00,PDT,4.01,A,1.14,P
USGS,11467270,2022-08-12 21:15,PDT,4.25,A,1.38,P
USGS,11467270,2022-08-12 21:30,PDT,4.50,A,1.63,P
USGS,11467270,2022-08-12 21:45,PDT,4.74,A,1.86,P
USGS,11467270,2022-08-12 22:00,PDT,5.00,A,2.13,P
USGS,11467270,2022-08-12 22:15,PDT,5.26,A,2.39,P
USGS,11467270,2022-08-12 22:30,PDT,5.53,A,2.66,P
USGS,11467270,2022-08-12 22:45,PDT,5.77,A,2.90,P
USGS,11467270,2022-08-12 23:00,PDT,6.00,A,3.13,P
USGS,11467270,2022-08-12 23:15,PDT,6.20,A,3.33,P
USGS,11467270,2022-08-12 23:30,PDT,6.40,A,3.53,P
USGS,11467270,2022-08-12 23:45,PDT,6.54,A,3.67,P
USGS,11467270,2022-08-13 00:00,PDT,6.70,A,3.83,P
USGS,11467270,2022-08-13 00:15,PDT,6.75,A,3.88,P
USGS,11467270,2022-08-13 00:30,PDT,6.76,A,3.89,P
USGS,11467270,2022-08-13 00:45,PDT,6.69,A,3.82,P
USGS,11467270,2022-08-13 01:00,PDT,6.55,A,3.68,P
USGS,11467270,2022-08-13 01:15,PDT,6.39,A,3.52,P
USGS,11467270,2022-08-13 01:30,PDT,6.20,A,3.33,P
USGS,11467270,2022-08-13 01:45,PDT,6.00,A,3.13,P
USGS,11467270,2022-08-13 02:00,PDT,5.80,A,2.93,P
USGS,11467270,2022-08-13 02:15,PDT,5.58,A,2.71,P
USGS,11467270,2022-08-13 02:30,PDT,5.37,A,2.50,P
USGS,11467270,2022-08-13 02:45,PDT,5.12,A,2.25,P
USGS,11467270,2022-08-13 03:00,PDT,4.88,A,2.01,P
USGS,11467270,2022-08-13 03:15,PDT,4.65,A,1.78,P
USGS,11467270,2022-08-13 03:30,PDT,4.41,A,1.54,P
USGS,11467270,2022-08-13 03:45,PDT,4.17,A,1.30,P
USGS,11467270,2022-08-13 04:00,PDT,3.93,A,1.06,P
USGS,11467270,2022-08-13 04:15,PDT,3.71,A,0.83,P
USGS,11467270,2022-08-13 04:30,PDT,3.49,A,0.62,P
USGS,11467270,2022-08-13 04:45,PDT,3.26,A,0.39,P
USGS,11467270,2022-08-13 05:00,PDT,3.05,A,0.18,P
USGS,11467270,2022-08-13 05:15,PDT,2.85,A,-0.02,P
USGS,11467270,2022-08-13 05:30,PDT,2.66,A,-0.22,P
USGS,11467270,2022-08-13 05:45,PDT,2.48,A,-0.39,P
USGS,11467270,2022-08-13 06:00,PDT,2.30,A,-0.57,P
USGS,11467270,2022-08-13 06:15,PDT,2.14,A,-0.73,P
USGS,11467270,2022-08-13 06:30,PDT,1.98,A,-0.89,P
USGS,11467270,2022-08-13 06:45,PDT,1.83,A,-1.04,P
USGS,11467270,2022-08-13 07:00,PDT,1.70,A,-1.17,P
USGS,11467270,2022-08-13 07:15,PDT,1.58,A,-1.30,P
USGS,11467270,2022-08-13 07:30,PDT,1.45,A,-1.42,P
USGS,11467270,2022-08-13 07:45,PDT,1.34,A,-1.53,P
USGS,11467270,2022-08-13 08:00,PDT,1.23,A,-1.64,P
USGS,11467270,2022-08-13 08:15,PDT,1.13,A,-1.74,P
USGS,11467270,2022-08-13 08:30,PDT,1.03,A,-1.84,P
USGS,11467270,2022-08-13 08:45,PDT,0.95,A,-1.92,P
USGS,11467270,2022-08-13 09:00,PDT,0.89,A,-1.98,P
USGS,11467270,2022-08-13 09:15,PDT,0.90,A,-1.97,P
USGS,11467270,2022-08-13 09:30,PDT,0.96,A,-1.91,P
USGS,11467270,2022-08-13 09:45,PDT,1.17,A,-1.70,P
USGS,11467270,2022-08-13 10:00,PDT,1.38,A,-1.49,P
USGS,11467270,2022-08-13 10:15,PDT,1.62,A,-1.25,P
USGS,11467270,2022-08-13 10:30,PDT,1.86,A,-1.01,P
USGS,11467270,2022-08-13 10:45,PDT,2.11,A,-0.76,P
USGS,11467270,2022-08-13 11:00,PDT,2.38,A,-0.49,P
