SA,NO3,PO4,depth,lat,lon
34.4195062248204,24.8,2.89,374,32.183333,-117.283333
34.450193013735,30.2,2.93,400,32.183333,-117.283333
34.4503270782315,31.7,2.85,407,32.183333,-117.283333
34.5015164047069,26.6,3.12,462,32.183333,-117.283333
34.5016190474066,28.8,3.13,468,32.183333,-117.283333
34.5544272574485,28.7,3.18,500,32.183333,-117.283333
34.4823987538516,28.6,3.25,523,32.183333,-117.283333
34.311375446708,0.9,0.36,0,25.816666,-114.808333
34.31137617594,0.9,0.36,1,25.816666,-114.808333
34.3415245101027,0.8,0.41,10,25.816666,-114.808333
34.3073886839801,1.2,0.42,20,25.816666,-114.808333
34.2782817696832,1.5,0.43,30,25.816666,-114.808333
34.2712802841524,1.6,0.43,34,25.816666,-114.808333
34.2110872091673,1.2,0.42,44,25.816666,-114.808333
34.1548871133638,1.1,0.43,50,25.816666,-114.808333
34.0806734202533,1,0.44,58,25.816666,-114.808333
33.9905024285956,1.1,0.51,73,25.816666,-114.808333
33.9774747816774,1.9,0.55,75,25.816666,-114.808333
33.9137406364184,13.7,1.26,100,25.816666,-114.808333
33.9814441570936,22.6,1.78,115,25.816666,-114.808333
34.0922282240514,24.6,2.03,125,25.816666,-114.808333
34.3581768083133,29.6,2.51,150,25.816666,-114.808333
34.8173770814312,37.8,3.04,191,25.816666,-114.808333
34.8145875265461,35,3.03,200,25.816666,-114.808333
34.8006893381762,19.3,3.04,250,25.816666,-114.808333
34.7837293065074,3.6,3.12,300,25.816666,-114.808333
34.7798415367742,1.7,3.12,306,25.816666,-114.808333
34.1204776038127,0.3,0.41,0,25.608333,-113.816666
34.1204783289875,0.3,0.41,1,25.608333,-113.816666
34.0903423599533,0.3,0.45,9,25.608333,-113.816666
34.1003903415122,0.3,0.45,10,25.608333,-113.816666
34.2008876823839,0.3,0.41,20,25.608333,-113.816666
34.2501494048929,0.3,0.43,30,25.608333,-113.816666
34.2009571925174,0.3,0.47,35,25.608333,-113.816666
34.1006315416711,0.2,0.46,50,25.608333,-113.816666
34.1108667711033,0.4,0.82,61,25.608333,-113.816666
34.0056076525378,5.3,1.04,75,25.608333,-113.816666
34.0007394524518,10.2,1.15,82,25.608333,-113.816666
34.3627993807935,28,2.49,97,25.608333,-113.816666
34.4040646203776,28.1,2.5,100,25.608333,-113.816666
34.6046666677374,29.1,2.89,125,25.608333,-113.816666
34.8002893951899,30.2,2.85,150,25.608333,-113.816666
34.7573118175666,32.2,3.01,200,25.608333,-113.816666
34.7082412145012,34,3.07,250,25.608333,-113.816666
34.7093664484533,34.2,2.97,300,25.608333,-113.816666
34.7005791371096,34.4,3.27,359,25.608333,-113.816666
34.1003830940342,1.2,0.43,0,25.575,-113.375
34.1003896167644,0.4,0.44,9,25.575,-113.375
34.0993856158097,0.4,0.44,10,25.575,-113.375
34.0994103129385,0.4,0.43,20,25.575,-113.375
34.1104893077967,0.4,0.43,29,25.575,-113.375
34.1104923082552,0.4,0.43,30,25.575,-113.375
34.0704787783151,0.4,0.53,49,25.575,-113.375
34.0644611605427,0.6,0.54,50,25.575,-113.375
34.010597316227,9,1.01,73,25.575,-113.375
34.0246978149074,10.1,1.1,75,25.575,-113.375
34.2723942289229,23.4,2.09,98,25.575,-113.375
34.3005741073698,24.2,2.13,100,25.575,-113.375
34.6347574877632,34,2.63,123,25.575,-113.375
34.1908083880372,0.2,0.17,0,24.091666,-113.658333
34.1908091147069,0.2,0.17,1,24.091666,-113.658333
34.2008629117583,0.4,0.26,10,24.091666,-113.658333
34.1506513608763,0.4,0.29,20,24.091666,-113.658333
34.1406341276734,0.4,0.29,30,24.091666,-113.658333
34.130649806425,0.4,0.22,38,24.091666,-113.658333
34.083551083916,0.3,0.3,50,24.091666,-113.658333
34.0705236810256,0.3,0.31,52,24.091666,-113.658333
33.9602240454076,7.6,1.08,65,24.091666,-113.658333
34.1502909883914,14.5,1.53,75,24.091666,-113.658333
34.2018287680348,22.4,2,88,24.091666,-113.658333
34.4010503335909,25.9,2.37,100,24.091666,-113.658333
34.4735475544516,26.7,2.52,106,24.091666,-113.658333
34.6448316016712,26.2,2.73,124,24.091666,-113.658333
34.6518913870575,26.2,2.72,125,24.091666,-113.658333
34.757082937836,26.6,2.64,150,24.091666,-113.658333
34.8167672727284,28.2,2.87,250,24.091666,-113.658333
34.7606165263014,29,2.77,300,24.091666,-113.658333
34.7315831550374,30.6,3,400,24.091666,-113.658333
34.7316457758018,30.6,3.01,403,24.091666,-113.658333
34.6780441079129,30.8,2.95,500,24.091666,-113.658333
34.6639103826375,30.9,3.29,567,24.091666,-113.658333
NaN,0.7,0.3,0,24,-112.333333
NaN,0.7,0.3,2,24,-112.333333
NaN,0.3,0.29,10,24,-112.333333
34.6931835314029,0.2,0.28,12,24,-112.333333
34.3937951569732,0.4,0.23,20,24,-112.333333
34.1366152184177,0.8,0.18,30,24,-112.333333
34.2713385353095,1.1,0.18,41,24,-112.333333
34.2262231428117,3.1,0.46,50,24,-112.333333
34.1811128693645,4.5,0.77,56,24,-112.333333
34.3923657355804,23.7,1.8,71,24,-112.333333
34.4296102062199,24.2,1.85,75,24,-112.333333
34.5536569046986,26.8,2.1,95,24,-112.333333
34.5849218275756,28.3,2.18,100,24,-112.333333
34.6646902253025,31.8,2.36,115,24,-112.333333
34.6890682937563,31.2,2.34,125,24,-112.333333
34.7154413454166,30,2.34,134,24,-112.333333
34.8384718458747,30.7,2.6,150,24,-112.333333
34.857370109902,32.1,2.94,183,24,-112.333333
34.856790680531,32.2,2.81,200,24,-112.333333
34.9393615236887,32.4,2.67,250,24,-112.333333
34.8399362413196,32.6,2.74,297,24,-112.333333
34.8359842878426,32.6,2.74,300,24,-112.333333
34.7436427325218,33.6,2.82,400,24,-112.333333
34.722150696443,34.4,2.9,435,24,-112.333333
34.6740240477352,38.3,2.92,500,24,-112.333333
NaN,44.3,3.12,600,24,-112.333333
NaN,44.5,3.13,603,24,-112.333333
34.5826513287171,0.2,0.15,0,23.583333,-111.708333
34.5826527987123,0.2,0.15,2,23.583333,-111.708333
34.5826586786933,NaN,0.18,10,23.583333,-111.708333
34.582663688123,NaN,0.19,12,23.583333,-111.708333
34.5736411879704,0.1,0.19,20,23.583333,-111.708333
34.5626195995281,0.1,0.19,30,23.583333,-111.708333
34.5928521187542,0.2,0.3,41,23.583333,-111.708333
34.4764016122835,0.2,0.26,50,23.583333,-111.708333
34.3820600349693,0.2,0.22,56,23.583333,-111.708333
34.3421113691522,0.4,0.31,70,23.583333,-111.708333
34.2748794164876,0.4,0.34,75,23.583333,-111.708333
34.1615690274165,0.4,0.49,85,23.583333,-111.708333
34.2975598205832,3.7,1.25,100,23.583333,-111.708333
34.4737570488554,7.3,1.94,114,23.583333,-111.708333
34.4740451036606,6.8,1.99,125,23.583333,-111.708333
34.7470349244979,5.6,2.48,150,23.583333,-111.708333
34.7769841309803,4,2.62,183,23.583333,-111.708333
34.8085585045482,4.1,2.68,200,23.583333,-111.708333
34.825811110914,4.5,2.72,250,23.583333,-111.708333
34.7967930518412,4.9,2.78,300,23.583333,-111.708333
34.7124888240205,5.7,2.88,400,23.583333,-111.708333
34.6818654062166,5.9,2.92,430,23.583333,-111.708333
34.6740240477352,8.4,2.92,500,23.583333,-111.708333
34.6442370708097,11.8,3.04,598,23.583333,-111.708333
34.1908083880372,0.1,0.23,0,25.325,-112.75
34.1908098413765,0.1,0.23,2,25.325,-112.75
34.0069508511834,0.1,0.47,10,25.325,-112.75
34.0069754813645,2.4,0.95,20,25.325,-112.75
34.064274851814,4.4,1.44,30,25.325,-112.75
34.1036349505264,1.3,1.96,49,25.325,-112.75
33.6924652616098,NaN,1.02,1,32.183333,-117.283333
33.6934788723298,NaN,1,11,32.183333,-117.283333
NaN,NaN,0.56,31,32.183333,-117.283333
33.7147714767468,1.6,0.88,46,32.183333,-117.283333
33.7278756694861,2.3,0.97,50,32.183333,-117.283333
NaN,4.7,1.46,60,32.183333,-117.283333
NaN,10,1.34,75,32.183333,-117.283333
NaN,13.3,1.3,90,32.183333,-117.283333
33.8916358666498,14.3,1.52,100,32.183333,-117.283333
NaN,15.2,1.8,110,32.183333,-117.283333
33.9736640351202,18.2,2.09,125,32.183333,-117.283333
34.0567364081702,22.8,2.38,150,32.183333,-117.283333
NaN,24.8,2.44,165,32.183333,-117.283333
NaN,27.1,2.24,200,32.183333,-117.283333
NaN,28.2,2.38,234,32.183333,-117.283333
34.3786435561817,28.8,2.53,250,32.183333,-117.283333
34.4373514151302,29.5,2.7,269,32.183333,-117.283333
34.4310081824944,30.7,2.82,300,32.183333,-117.283333
34.4291925426872,31,2.86,309,32.183333,-117.283333
33.7065314187536,0.7,0.84,1,32.091666,-117.483333
33.7165875651601,0.2,0.22,11,32.091666,-117.483333
33.7146000901902,0.1,0.23,20,32.091666,-117.483333
33.7156344738769,NaN,0.24,30,32.091666,-117.483333
NaN,NaN,0.24,31,32.091666,-117.483333
33.7268282551983,NaN,0.42,46,32.091666,-117.483333
33.7339040663409,0.2,0.4,50,32.091666,-117.483333
NaN,1.5,0.38,61,32.091666,-117.483333
NaN,5.5,0.66,75,32.091666,-117.483333
NaN,7.7,0.76,90,32.091666,-117.483333
33.8393882290148,11,0.98,100,32.091666,-117.483333
NaN,14.4,1.2,110,32.091666,-117.483333
33.9043341280332,16.9,1.26,125,32.091666,-117.483333
NaN,17.9,1.28,133,32.091666,-117.483333
33.978361904133,21.5,1.62,150,32.091666,-117.483333
NaN,23.8,1.88,163,32.091666,-117.483333
NaN,23.2,1.8,198,32.091666,-117.483333
34.1513951067833,23.2,1.8,200,32.091666,-117.483333
NaN,24.6,1.92,232,32.091666,-117.483333
34.36156075072,26.2,2.12,250,32.091666,-117.483333
34.4413263566445,27.5,2.3,267,32.091666,-117.483333
34.4832631638297,27.7,2.38,300,32.091666,-117.483333
34.4924593064302,27.7,2.4,307,32.091666,-117.483333
33.7396873605928,NaN,0.74,1,31.216666,-119.183333
33.7396962579904,NaN,0.6,11,31.216666,-119.183333
NaN,NaN,0.46,31,31.216666,-119.183333
NaN,NaN,0.38,41,31.216666,-119.183333
33.6846721586938,2.1,0.56,50,31.216666,-119.183333
NaN,4.3,0.74,56,31.216666,-119.183333
33.6749789656358,11.6,1.08,71,31.216666,-119.183333
33.6800701468672,12.8,1.15,75,31.216666,-119.183333
NaN,18,2.22,96,31.216666,-119.183333
33.7127881839762,19.3,1.54,100,31.216666,-119.183333
NaN,23.6,2.32,116,31.216666,-119.183333
33.7465834698789,24.7,1.87,125,31.216666,-119.183333
NaN,25.3,2.36,135,31.216666,-119.183333
33.7824256440399,26.2,2.12,150,31.216666,-119.183333
NaN,26.5,2.16,155,31.216666,-119.183333
NaN,28.2,2.5,185,31.216666,-119.183333
33.8569778658886,28.8,2.38,200,31.216666,-119.183333
NaN,29.4,2.2,220,31.216666,-119.183333
NaN,30.6,2.42,250,31.216666,-119.183333
34.0220124631973,33.5,2.65,300,31.216666,-119.183333
NaN,33.6,2.66,302,31.216666,-119.183333
NaN,35.3,2.96,356,31.216666,-119.183333
34.2079964992569,37.5,3.09,400,31.216666,-119.183333
NaN,39.4,3.16,440,31.216666,-119.183333
34.4157351813177,40.8,3.29,500,31.216666,-119.183333
34.4733947027171,41.2,3.34,526,31.216666,-119.183333
34.5005417107061,43.2,3.41,600,31.216666,-119.183333
34.5036745902253,43.4,3.42,609,31.216666,-119.183333
33.6874430660012,NaN,0.64,3,31.675,-116.775
33.6864506715127,0.3,0.34,13,31.675,-116.775
33.6874724765761,1,0.41,20,31.675,-116.775
33.6915210183424,2.3,0.51,30,31.675,-116.775
NaN,2.7,0.54,33,31.675,-116.775
33.7047454881233,4.1,0.48,48,31.675,-116.775
33.7087857461128,4.4,0.51,50,31.675,-116.775
NaN,6.5,0.72,61,31.675,-116.775
33.7654735048364,9.5,0.91,75,31.675,-116.775
NaN,9.7,0.92,76,31.675,-116.775
NaN,13,1.22,91,31.675,-116.775
33.8243167950816,14.7,1.35,100,31.675,-116.775
NaN,16.4,1.48,111,31.675,-116.775
33.8852432840528,18.2,1.66,125,31.675,-116.775
NaN,19.4,1.78,136,31.675,-116.775
33.9472130627848,20.8,1.87,150,31.675,-116.775
NaN,22.2,1.94,166,31.675,-116.775
NaN,24.3,2.08,200,31.675,-116.775
NaN,27,2.26,235,31.675,-116.775
34.1977667924698,28.4,2.36,250,31.675,-116.775
NaN,30.3,2.5,275,31.675,-116.775
34.317454088439,30.3,2.53,300,31.675,-116.775
34.3631014811691,30.3,2.54,320,31.675,-116.775
34.3880634562999,31.7,2.7,360,31.675,-116.775
33.7346630160664,NaN,0.4,0,31.35,-117.45
33.7346694688415,NaN,0.32,9,31.35,-117.45
33.7336654601141,NaN,0.32,10,31.35,-117.45
33.7176142694807,NaN,0.31,20,31.35,-117.45
33.6995588368539,NaN,0.3,30,31.35,-117.45
NaN,0.6,0.32,39,31.35,-117.45
NaN,1.5,0.42,49,31.35,-117.45
33.7489750584777,1.9,0.45,50,31.35,-117.45
NaN,7.3,0.88,64,31.35,-117.45
33.8096823019027,9.5,1.09,75,31.35,-117.45
NaN,10,1.14,79,31.35,-117.45
NaN,12.9,1.26,99,31.35,-117.45
33.8715406214056,13,1.27,100,31.35,-117.45
NaN,16.3,1.5,123,31.35,-117.45
33.9344775658971,16.8,1.54,125,31.35,-117.45
NaN,20.9,1.9,144,31.35,-117.45
33.999462732143,21.7,1.95,150,31.35,-117.45
NaN,23.7,2.06,174,31.35,-117.45
34.1343128777894,25.4,2.17,200,31.35,-117.45
NaN,25.6,2.18,203,31.35,-117.45
NaN,28.1,2.38,232,31.35,-117.45
34.2831808197782,28.8,2.48,250,31.35,-117.45
NaN,29.4,2.58,273,31.35,-117.45
34.4531160592132,30.2,2.68,300,31.35,-117.45
34.57539443747,31.2,2.78,332,31.35,-117.45
34.4873767109786,34.7,2.89,400,31.35,-117.45
34.4804590421181,35,2.9,406,31.35,-117.45
NaN,35,3.08,479,31.35,-117.45
NaN,32.6,2.68,558,31.35,-117.45
33.7507386238891,NaN,0.52,0,30.75,-118.716666
33.7507393412058,NaN,0.52,1,30.75,-118.716666
33.7547646998657,NaN,0.35,10,30.75,-118.716666
33.755771870394,NaN,0.32,11,30.75,-118.716666
33.7346946187933,NaN,0.31,20,30.75,-118.716666
33.7106108373072,NaN,0.3,30,30.75,-118.716666
NaN,NaN,0.3,31,30.75,-118.716666
NaN,NaN,0.26,41,30.75,-118.716666
33.6655822353204,0.3,0.36,50,30.75,-118.716666
NaN,4,0.6,65,30.75,-118.716666
NaN,8.3,0.86,75,30.75,-118.716666
NaN,10.6,1,80,30.75,-118.716666
NaN,16.6,1.4,99,30.75,-118.716666
NaN,16.9,1.42,100,30.75,-118.716666
NaN,22.1,1.92,124,30.75,-118.716666
NaN,22.2,1.93,125,30.75,-118.716666
