sample_id,cast,date,latitude,longitude,depth,chl_ug_L,chl_qc,phaeo_ug_L,phaeo_qc,poc_ug_L,poc_qc,pon_ug_L,pon_qc,nitrite_umol_L,nitrite_qc,nitrate_nitrite_umol_L,nitrate_nitrite_qc,phosphate_umol_L,phosphate_qc,silicate_umol_L,silicate_qc,nitrate_umol_L,nitrate_qc,Tot_Chl_a,Tot_Chl_b,Tot_Chl_c,Alpha_beta_Car,But_fuco,Hex_fuco,Allo,Diadino,Diato,Fuco,Perid,Zea,MV_Chl_a,DV_Chl_a,Chlide_a,MV_Chl_b,DV_Chl_b,Chl_c1c2,Chl_c3,Lut,Neo,Viola,Phytin_a,Phide_a,Pras,Gyro,Tchl,PPC,PSC,PSP,Tcar,Tacc,Tpg,DP,Tacc_Tchla,PSC_Tcar,PPC_Tcar,Tchl_Tcar,PPC_Tpg,PSP_Tpg,TchlA_Tpg,time_dt,time_dn,temp,sal,sigma_T,oxygen,PAR,sal_abs,Perid:Chla,Allo:Chla,But-fuco:Chla,Fuco:Chla,Hex-fuco:Chla,Zea:Chla,MVChlb:Chla
2304111600,0,2312380800,37.111427,-123.881969,0,1,0,0.07,0,-9999,0,-9999,0,0.057,0,0.5935,0,0.1535,0,1.976,0,0.5365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11-Apr-2023 16:00:00,738987.666666667,12.303,32.563,24.64,6.288,924.3939699,32.7172512053723,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2304111630,0,2312382600,37.150702,-123.904355,0,0.58,0,0.72,0,8.3053,0,1.291984814,0,0.056,0,0.478,0,0.1415,0,1.3455,0,0.422,0,1.003,0.075,0.252,0.029,0.039,0.133,0.016,0.061,0.02,0.362,0,0.037,0.98,0,0.023,0.075,0,0.176,0.076,0,0,0,0,0.012,0.021,0,1.33,0.163,0.534,1.864,0.697,1.024,2.027,0.662,1.02,0.77,0.23,1.91,0.08,0.92,0.49,11-Apr-2023 16:30:00,738987.6875,12.287,32.588,24.662,6.248,1724.217317,32.7423732685656,0,0.0159521435692921,0.0388833499501496,0.360917248255234,0.132602193419741,0.036889332003988,0.0747756729810568
2304111658,0,2312384280,37.188517,-123.925855,0,1.11,0,0.08,0,7.7365,0,1.097107445,0,0.0665,0,0.9225,0,0.178,0,1.876,0,0.856,0,1.183,0.08,0.298,0.033,0.029,0.111,0.039,0.048,0.02,0.421,0.016,0.013,1.154,0,0.029,0.08,0,0.196,0.102,0,0,0,0.018,0.028,0.016,0,1.561,0.153,0.577,2.138,0.73,1.108,2.291,0.709,0.94,0.79,0.21,2.14,0.07,0.93,0.52,11-Apr-2023 16:58:00,738987.706944444,12.016,32.621,24.739,6.254,2306.994023,32.77553309768,0.0135249366018597,0.032967032967033,0.0245139475908707,0.355874894336433,0.0938292476754015,0.010989010989011,0.0676246830092984
2304111730,0,2312386200,37.251176,-123.961604,0,0.82,0,0.27,0,10.0401,0,1.503465224,0,0.044,0,0.943,0,0.1885,0,2.5205,0,0.899,0,1.145,0.16,0.209,0.042,0.023,0.096,0.072,0.038,0.014,0.158,0.021,0.024,1.126,0,0.019,0.16,0,0.151,0.058,0,0.015,0,0.013,0.012,0.037,0,1.514,0.19,0.298,1.812,0.488,0.857,2.002,0.554,0.75,0.61,0.39,3.1,0.09,0.91,0.57,11-Apr-2023 17:30:00,738987.729166667,12.059,32.528,24.659,6.312,2409.746671,32.6820983257999,0.0183406113537118,0.062882096069869,0.0200873362445415,0.137991266375546,0.0838427947598253,0.0209606986899563,0.139737991266376
2304111758,0,2312387880,37.305816,-123.992783,0,0.63,0,0.17,0,8.1659,0,1.25990082,0,0.066,0,1.001,0,0.188,0,2.2665,0,0.935,0,0.888,0.122,0.191,0.031,0.024,0.107,0.033,0.053,0.02,0.222,0.013,0.034,0.867,0,0.021,0.122,0,0.129,0.062,0,0.015,0,0.012,0.011,0.033,0,1.201,0.171,0.366,1.567,0.537,0.85,1.738,0.555,0.96,0.68,0.32,2.24,0.1,0.9,0.51,11-Apr-2023 17:58:00,738987.748611111,12.118,32.502,24.628,6.294,2439.08,32.6559801963968,0.0146396396396396,0.0371621621621622,0.027027027027027,0.25,0.120495495495495,0.0382882882882883,0.137387387387387
2304112100,0,2312398800,37.114327,-124.201901,0,0.8,0,0.11,0,-9999,0,-9999,0,0.07,1,0.3195,0,0.1275,0,1.206,0,0.2495,0,1.022,0.064,0.247,0.033,0.032,0.118,0.033,0.083,0.039,0.373,0,0.034,0.979,0,0.043,0.064,0,0.177,0.07,0,0,0,0.014,0.015,0.014,0,1.333,0.222,0.523,1.856,0.745,1.056,2.078,0.654,1.03,0.7,0.3,1.79,0.11,0.89,0.49,11-Apr-2023 21:00:00,738987.875,12.474,32.631,24.66,6.26,2456.771327,32.7855655591355,0,0.0322896281800391,0.0313111545988258,0.364970645792564,0.11545988258317,0.0332681017612525,0.0626223091976517
2304112130,0,2312400600,37.04151,-124.268286,0,0.83,0,0.49,0,-9999,0,-9999,0,0.074,0,0.6125,0,0.1465,0,2.575,0,0.5385,0,1.155,0.16,0.22,0.05,0.027,0.111,0.063,0.056,0.044,0.229,0.018,0.044,1.105,0,0.05,0.16,0,0.155,0.065,0.009,0.019,0.006,0.011,0.015,0.044,0,1.535,0.257,0.385,1.92,0.642,1.022,2.177,0.652,0.88,0.6,0.4,2.39,0.12,0.88,0.53,11-Apr-2023 21:30:00,738987.895833333,12.435,32.603,24.645,6.298,2621.119301,32.7574238587382,0.0155844155844156,0.0545454545454545,0.0233766233766234,0.198268398268398,0.0961038961038961,0.0380952380952381,0.138528138528139
2304112200,0,2312402400,36.968848,-124.334585,0,1.05,0,0.67,0,-9999,0,-9999,0,0.1145,0,2.561,0,0.262,0,4.5515,0,2.4465,0,2.755,0.323,0.521,0.076,0,0.045,0.054,0.097,0.046,0.914,0.021,0.023,2.624,0,0.131,0.323,0,0.445,0.076,0.01,0.032,0.011,0.038,0.218,0.09,0,3.599,0.296,0.98,4.579,1.276,2.12,4.875,1.38,0.77,0.77,0.23,2.82,0.06,0.94,0.57,11-Apr-2023 22:00:00,738987.916666667,12.197,32.679,24.75,6.38,2769.416668,32.8337748766407,0.00762250453720508,0.0196007259528131,0,0.331760435571688,0.0163339382940109,0.00834845735027223,0.117241379310345
2304112230,0,2312404200,36.897633,-124.399315,0,0.96,0,0.73,0,-9999,0,-9999,0,0.129,0,4.1065,0,0.3375,0,4.3215,0,3.9775,0,1.398,0.224,0.199,0.055,0,0.015,0.092,0.038,0.027,0.256,0,0.017,1.339,0,0.059,0.224,0,0.184,0.015,0.012,0.022,0.007,0.018,0.098,0.053,0,1.821,0.229,0.271,2.092,0.5,0.923,2.321,0.604,0.66,0.54,0.46,3.64,0.1,0.9,0.6,11-Apr-2023 22:30:00,738987.9375,12.518,32.876,24.842,6.453,2596.186668,33.0316992109359,0,0.0658082975679542,0,0.183118741058655,0.0107296137339056,0.0121602288984263,0.160228898426323
2304112300,0,2312406000,36.826948,-124.463695,0,1.83,0,0.71,0,-9999,0,-9999,0,0.0945,0,1.752,0,0.1365,0,3.3155,0,1.6575,0,1.698,0.364,0.563,0.071,0.018,0.069,0.102,0.048,0.032,0.267,0.02,0.041,1.631,0,0.067,0.364,0,0.505,0.058,0.019,0.036,0.011,0.024,0.065,0.094,0,2.625,0.294,0.374,2.999,0.668,1.595,3.293,0.881,0.94,0.56,0.44,3.93,0.09,0.91,0.52,11-Apr-2023 23:00:00,738987.958333333,12.764,32.919,24.827,6.871,2789.400705,33.0748943174949,0.0117785630153121,0.0600706713780919,0.0106007067137809,0.157243816254417,0.0406360424028269,0.0241460541813899,0.214369846878681
2304112330,0,2312407800,36.757163,-124.527243,0,0.77,0,1.01,0,10.625,0,1.464408846,0,0.138,0,4.454,0,0.289,0,4.9395,0,4.316,0,1.453,0.232,0.224,0.057,0,0.021,0.056,0.044,0.031,0.316,0.012,0.026,1.376,0,0.077,0.232,0,0.203,0.021,0.011,0.025,0.009,0.014,0.095,0.07,0,1.909,0.214,0.349,2.258,0.563,1.019,2.472,0.663,0.7,0.62,0.38,3.39,0.09,0.91,0.59,11-Apr-2023 23:30:00,738987.979166667,12.732,32.931,24.843,6.539,2658.784678,33.0869428245506,0.00825877494838266,0.0385409497591191,0,0.217481073640743,0.0144528561596696,0.0178940123881624,0.159669649002065
2304120200,0,2312416800,36.560069,-124.706014,0,0.4,0,0.19,0,6.4787,0,0.975711032,0,0.1135,0,3.7445,0,0.301,0,4.074,0,3.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12-Apr-2023 02:00:00,738988.083333333,13.083,32.861,24.72,6.221,1111.567382,33.0165885232085,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2304120230,0,2312418600,36.493608,-124.766199,0,0.4,0,0.24,0,5.1478,0,0.787190246,0,0.115,1,3.3965,0,0.3325,0,3.865,0,3.2815,0,0.558,0.227,0.051,0.023,0,0.013,0.021,0.006,0,0.026,0,0.016,0.558,0,0,0.227,0,0.041,0.01,0,0.021,0.013,0,0,0.062,0,0.836,0.066,0.039,0.875,0.105,0.383,0.941,0.303,0.69,0.37,0.63,7.96,0.07,0.93,0.59,12-Apr-2023 02:30:00,738988.104166667,12.44,32.807,24.803,6.181,153.6186714,32.9623253671216,0,0.0376344086021505,0,0.046594982078853,0.0232974910394265,0.028673835125448,0.406810035842294
2304120300,0,2312420400,36.437711,-124.815554,0,0.39,0,0.32,0,5.355,0,0.732744241,0,0.087,0,2.313,0,0.2625,0,2.901,0,2.226,0,0.553,0.257,0.031,0.021,0,0,0.016,0,0,0.019,0,0.018,0.553,0,0,0.257,0,0.031,0,0,0.021,0.011,0,0,0.067,0,0.841,0.055,0.019,0.86,0.074,0.362,0.915,0.31,0.65,0.26,0.74,11.36,0.06,0.94,0.6,12-Apr-2023 03:00:00,738988.125,12.44,32.72,24.736,6.263,9.62,32.8749073223025,0,0.0289330922242315,0,0.0343580470162749,0,0.0325497287522604,0.464737793851718
2304120330,0,2312422200,36.488853,-124.820782,0,0.34,0,0.31,0,5.2444,0,0.6985381,0,0.0945,0,2.877,0,0.306,0,3.2715,0,2.7825,0,0.61,0.224,0.051,0.023,0,0.009,0.029,0.005,0,0.029,0,0.01,0.61,0,0,0.224,0,0.043,0.008,0,0.016,0.012,0,0,0.057,0,0.885,0.067,0.038,0.923,0.105,0.38,0.99,0.301,0.62,0.36,0.64,8.43,0.07,0.93,0.62,12-Apr-2023 03:30:00,738988.145833333,12.247,32.765,24.807,6.243,4.12,32.9201237492613,0,0.0475409836065574,0,0.0475409836065574,0.0147540983606557,0.0163934426229508,0.367213114754098
2304120402,0,2312424120,36.551196,-124.829455,0,0.33,0,0.31,0,5.3607,0,0.804210342,0,0.1165,0,3.4415,0,0.327,0,4.049,0,3.325,0,0.574,0.217,0.048,0.032,0,0.017,0.017,0.009,0,0.029,0,0.025,0.574,0,0,0.217,0,0.038,0.01,0,0.02,0.014,0,0,0.062,0,0.839,0.083,0.046,0.885,0.129,0.394,0.968,0.305,0.69,0.36,0.64,6.5,0.09,0.91,0.59,12-Apr-2023 04:02:00,738988.168055556,12.662,32.82,24.77,6.183,4.12,32.9753881595069,0,0.029616724738676,0,0.0505226480836237,0.029616724738676,0.0435540069686411,0.378048780487805
2304120430,0,2312425800,36.609445,-124.839098,0,0.39,0,0.28,0,6.782,0,1.087561314,0,0.101,0,2.491,0,0.2845,0,3.1715,0,2.39,0,0.557,0.193,0.06,0.022,0,0.011,0.019,0.008,0,0.057,0,0.011,0.548,0,0.009,0.193,0,0.053,0.007,0,0.018,0.012,0.014,0.018,0.056,0,0.81,0.06,0.068,0.878,0.128,0.381,0.938,0.291,0.68,0.53,0.47,6.33,0.06,0.94,0.59,12-Apr-2023 04:30:00,738988.1875,12.224,32.74,24.792,6.256,4.12,32.8950130554432,0,0.0341113105924596,0,0.102333931777379,0.0197486535008977,0.0197486535008977,0.346499102333932
