ID,type
20230411_smode2_B1.16S.exp.,UNK
20230411_smode2_B10.16S.exp.,UNK
20230411_smode2_B2.16S.exp.,UNK
20230411_smode2_B3.16S.exp.,UNK
20230411_smode2_B4.16S.exp.,UNK
20230411_smode2_B5.16S.exp.,UNK
20230411_smode2_B6.16S.exp.,UNK
20230411_smode2_B7.16S.exp.,UNK
20230411_smode2_B8.16S.exp.,UNK
20230411_smode2_B9.16S.exp.,UNK
20230411_smode2_C1N13.16S.exp.,UNK
20230411_smode2_C1N16.16S.exp.,UNK
20230411_smode2_C1N19.16S.exp.,UNK
20230411_smode2_C1N7.16S.exp.,UNK
20230411_smode2_C1N9.16S.exp.,UNK
20230411_smode2_C2N10.16S.exp.,UNK
20230411_smode2_C2N12.16S.exp.,UNK
20230412_smode2_B11.16S.exp.,UNK
20230412_smode2_B12.16S.exp.,UNK
20230412_smode2_B13.16S.exp.,UNK
20230412_smode2_B14.16S.exp.,UNK
20230412_smode2_B15.16S.exp.,UNK
20230412_smode2_B16.16S.exp.,UNK
20230412_smode2_B17.16S.exp.,UNK
20230412_smode2_C3N10.16S.exp.,UNK
20230412_smode2_C3N12.16S.exp.,UNK
20230412_smode2_C3N16.16S.exp.,UNK
20230412_smode2_C3N4.16S.exp.,UNK
20230412_smode2_C3N8.16S.exp.,UNK
20230412_smode2_C4N10.16S.exp.,UNK
20230412_smode2_C4N4.16S.exp.,UNK
20230412_smode2_C4N8.16S.exp.,UNK
20230412_smode2_C5N10.16S.exp.,UNK
20230412_smode2_C5N14.16S.exp.,UNK
20230412_smode2_C5N18.16S.exp.,UNK
20230412_smode2_C5N4.16S.exp.,UNK
20230412_smode2_C5N8.16S.exp.,UNK
20230412_smode2_C6N10.16S.exp.,UNK
20230412_smode2_C6N16.16S.exp.,UNK
20230412_smode2_C6N4.16S.exp.,UNK
20230416_smode2_B18.16S.exp.,UNK
20230416_smode2_B19.16S.exp.,UNK
20230416_smode2_B20.16S.exp.,UNK
20230416_smode2_B21.16S.exp.,UNK
20230416_smode2_B22.16S.exp.,UNK
20230416_smode2_B23.16S.exp.,UNK
20230416_smode2_B24.16S.exp.,UNK
20230416_smode2_B25.16S.exp.,UNK
20230416_smode2_B26.16S.exp.,UNK
20230416_smode2_B27.16S.exp.,UNK
20230416_smode2_B28.16S.exp.,UNK
20230416_smode2_B29.16S.exp.,UNK
20230416_smode2_B30.16S.exp.,UNK
20230417_smode2_B31.16S.exp.,UNK
20230417_smode2_B32.16S.exp.,UNK
20230417_smode2_B33.16S.exp.,UNK
20230417_smode2_B34.16S.exp.,UNK
20230417_smode2_B35.16S.exp.,UNK
20230417_smode2_B36.16S.exp.,UNK
20230417_smode2_B37.16S.exp.,UNK
20230417_smode2_B38.16S.exp.,UNK
20230417_smode2_B39.16S.exp.,UNK
20230417_smode2_B40.16S.exp.,UNK
20230417_smode2_C8N10.16S.exp.,UNK
20230417_smode2_C8N12.16S.exp.,UNK
20230417_smode2_C8N18.16S.exp.,UNK
20230417_smode2_C8N22.16S.exp.,UNK
20230417_smode2_C8N4.16S.exp.,UNK
20230417_smode2_C8N8.16S.exp.,UNK
20230419_smode2_B41.16S.exp.,NED
20230419_smode2_C11N10.16S.exp.,UNK
20230419_smode2_C11N12.16S.exp.,UNK
20230419_smode2_C11N18.16S.exp.,UNK
20230419_smode2_C11N22.16S.exp.,UNK
20230419_smode2_C11N4.16S.exp.,UNK
20230419_smode2_C12N10.16S.exp.,UNK
20230419_smode2_C12N12.16S.exp.,UNK
20230419_smode2_C12N18.16S.exp.,UNK
20230419_smode2_C12N22.16S.exp.,UNK
20230419_smode2_C12N8.16S.exp.,UNK
20230419_smode2_C9N12.16S.exp.,UNK
20230419_smode2_C9N16.16S.exp.,UNK
20230419_smode2_C9N18.16S.exp.,UNK
20230419_smode2_C9N22.16S.exp.,UNK
20230419_smode2_C9N8.16S.exp.,UNK
20230420_smode2_B42.16S.exp.,SED
20230420_smode2_B43.16S.exp.,SED
20230420_smode2_B44.16S.exp.,COR
20230420_smode2_B45.16S.exp.,COR
20230420_smode2_B46.16S.exp.,NED
20230420_smode2_B47.16S.exp.,NED
20230420_smode2_B48.16S.exp.,NED
20230420_smode2_B49.16S.exp.,NED
20230420_smode2_B50.16S.exp.,NFIL
20230421_smode2_B51.16S.exp.,SFIL
20230421_smode2_B52.16S.exp.,SFIL
20230421_smode2_B53.16S.exp.,SFIL
20230421_smode2_B54.16S.exp.,SED
20230421_smode2_B55.16S.exp.,SED
20230421_smode2_B56.16S.exp.,COR
20230421_smode2_B57.16S.exp.,NED
20230421_smode2_C13N12.16S.exp.,UNK
20230421_smode2_C13N16.16S.exp.,UNK
20230421_smode2_C13N18.16S.exp.,UNK
20230421_smode2_C13N22.16S.exp.,UNK
